epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,199.86,0.56449,0.39666,0.38219,0.89502,0.9976,1,0.995,0.9214,0.9976,1,0.995,0.88625,0.40961,0.25987,0.31692,0.83838,0.0017228,0.0017228,0.0017228
16,212.801,0.55964,0.40178,0.36743,0.88774,1,0.99956,0.995,0.88984,1,0.99956,0.995,0.83585,0.51844,0.2792,0.28445,0.86749,0.001703,0.001703,0.001703
17,225.77,0.54866,0.37195,0.37953,0.88764,0.99972,1,0.995,0.94144,0.99972,1,0.995,0.90727,0.34167,0.22994,0.23249,0.82015,0.0016832,0.0016832,0.0016832
18,238.598,0.53145,0.36704,0.36454,0.88091,0.99908,1,0.995,0.94151,0.99908,1,0.995,0.88952,0.36671,0.24994,0.29338,0.82074,0.0016634,0.0016634,0.0016634
19,251.244,0.58443,0.37746,0.37079,0.88878,0.99948,1,0.995,0.92084,0.99948,1,0.995,0.92555,0.42496,0.2791,0.23551,0.84325,0.0016436,0.0016436,0.0016436
20,264.004,0.54188,0.38711,0.35761,0.88789,0.99969,1,0.995,0.9498,0.99969,1,0.995,0.90486,0.3446,0.22617,0.21402,0.81214,0.0016238,0.0016238,0.0016238
21,276.737,0.48398,0.32791,0.33562,0.87764,0.99965,1,0.995,0.93936,0.99965,1,0.995,0.94605,0.36336,0.22932,0.22878,0.8139,0.001604,0.001604,0.001604
22,289.807,0.51359,0.35416,0.35259,0.88718,0.99863,1,0.995,0.95737,0.99863,1,0.995,0.90634,0.31959,0.22568,0.22479,0.80893,0.0015842,0.0015842,0.0015842
23,302.68,0.50217,0.36516,0.34152,0.8782,0.99896,1,0.995,0.92169,0.99896,1,0.995,0.91509,0.41702,0.25388,0.2672,0.83171,0.0015644,0.0015644,0.0015644
24,315.694,0.49131,0.35043,0.33058,0.87688,0.99819,1,0.995,0.96172,0.99819,1,0.995,0.93124,0.33461,0.23838,0.27456,0.80614,0.0015446,0.0015446,0.0015446
25,328.546,0.48844,0.35055,0.33582,0.87473,1,0.99383,0.995,0.91742,1,0.99383,0.995,0.87422,0.42175,0.2735,0.25511,0.84008,0.0015248,0.0015248,0.0015248
26,341.389,0.49492,0.33911,0.33508,0.87847,0.99977,1,0.995,0.95942,0.99977,1,0.995,0.9082,0.34544,0.23715,0.2259,0.81028,0.001505,0.001505,0.001505
27,353.863,0.47123,0.33889,0.33008,0.86944,0.98296,0.985,0.99415,0.92612,0.98296,0.985,0.99415,0.91342,0.40538,0.25944,0.35781,0.83249,0.0014852,0.0014852,0.0014852
28,366.275,0.46911,0.38018,0.32471,0.86628,0.9948,1,0.995,0.94607,0.9948,1,0.995,0.90796,0.34292,0.21216,0.22459,0.81782,0.0014654,0.0014654,0.0014654
29,378.849,0.47127,0.39796,0.32422,0.87173,1,0.99957,0.995,0.96478,1,0.99957,0.995,0.9121,0.30224,0.21439,0.23598,0.80434,0.0014456,0.0014456,0.0014456
30,391.29,0.44539,0.34124,0.30327,0.86465,0.99986,1,0.995,0.95482,0.99986,1,0.995,0.90802,0.34706,0.24135,0.21358,0.82304,0.0014258,0.0014258,0.0014258
31,403.58,0.43982,0.33364,0.30684,0.86484,0.99983,1,0.995,0.97291,0.99983,1,0.995,0.94977,0.29787,0.2273,0.19285,0.80302,0.001406,0.001406,0.001406
32,415.848,0.42569,0.31408,0.29822,0.86244,0.99968,1,0.995,0.96988,0.99968,1,0.995,0.91962,0.28958,0.21944,0.19408,0.79833,0.0013862,0.0013862,0.0013862
33,428.059,0.44932,0.39145,0.30681,0.86906,0.99986,1,0.995,0.96711,0.99986,1,0.995,0.93573,0.26356,0.21255,0.17675,0.8077,0.0013664,0.0013664,0.0013664
34,440.407,0.44805,0.35797,0.30758,0.86875,0.9997,1,0.995,0.97325,0.9997,1,0.995,0.92943,0.30283,0.23922,0.19682,0.80166,0.0013466,0.0013466,0.0013466
35,452.601,0.45068,0.35658,0.31083,0.86579,0.99445,0.995,0.99465,0.76289,0.99445,0.995,0.99465,0.76353,0.85552,0.49043,0.43197,1.15517,0.0013268,0.0013268,0.0013268
36,464.79,0.43778,0.31615,0.30088,0.86123,0.99966,1,0.995,0.95697,0.99966,1,0.995,0.92178,0.35439,0.22686,0.20035,0.81498,0.001307,0.001307,0.001307
37,476.805,0.42146,0.31478,0.29116,0.85895,0.99949,1,0.995,0.97924,0.99949,1,0.995,0.95171,0.22924,0.18526,0.17392,0.79234,0.0012872,0.0012872,0.0012872
38,489.081,0.42814,0.34253,0.28781,0.86255,1,0.99968,0.995,0.96385,1,0.99968,0.995,0.90925,0.2945,0.25488,0.20062,0.80581,0.0012674,0.0012674,0.0012674
39,501.548,0.4114,0.30182,0.28398,0.85633,0.99968,1,0.995,0.98022,0.99968,1,0.995,0.93454,0.26048,0.22271,0.16889,0.79616,0.0012476,0.0012476,0.0012476
40,513.872,0.38973,0.29536,0.28053,0.84733,0.99971,1,0.995,0.98174,0.99971,1,0.995,0.92294,0.24536,0.20444,0.17842,0.7909,0.0012278,0.0012278,0.0012278
41,526.435,0.39054,0.29046,0.28039,0.85175,1,0.99975,0.995,0.97009,1,0.99975,0.995,0.91538,0.2844,0.19789,0.19334,0.79755,0.001208,0.001208,0.001208
42,538.603,0.3662,0.28724,0.26071,0.84128,1,0.99978,0.995,0.97766,1,0.99978,0.995,0.93057,0.2289,0.19967,0.16898,0.78962,0.0011882,0.0011882,0.0011882
43,550.733,0.38232,0.2841,0.26867,0.84842,0.99972,1,0.995,0.98236,0.99972,1,0.995,0.95326,0.24961,0.18372,0.15899,0.79236,0.0011684,0.0011684,0.0011684
44,562.886,0.37431,0.30527,0.26641,0.8471,0.99969,1,0.995,0.98989,0.99969,1,0.995,0.93747,0.19274,0.19159,0.1361,0.78239,0.0011486,0.0011486,0.0011486
45,574.823,0.36824,0.27712,0.26447,0.84421,0.99969,1,0.995,0.98541,0.99969,1,0.995,0.95176,0.21014,0.19028,0.15458,0.78493,0.0011288,0.0011288,0.0011288
46,587.01,0.38148,0.31662,0.27001,0.8454,0.99967,1,0.995,0.9773,0.99967,1,0.995,0.94328,0.25661,0.17901,0.18075,0.79092,0.001109,0.001109,0.001109
47,599.218,0.38221,0.31255,0.26983,0.84659,0.99969,1,0.995,0.98168,0.99969,1,0.995,0.92836,0.21658,0.18466,0.1758,0.78818,0.0010892,0.0010892,0.0010892
48,611.456,0.35316,0.29376,0.25767,0.83927,0.9996,1,0.995,0.98681,0.9996,1,0.995,0.93831,0.22031,0.18197,0.18108,0.78746,0.0010694,0.0010694,0.0010694
49,623.675,0.36101,0.31783,0.26019,0.84121,0.99965,1,0.995,0.98583,0.99965,1,0.995,0.95088,0.1969,0.17732,0.14557,0.78464,0.0010496,0.0010496,0.0010496
50,635.94,0.35592,0.28628,0.25694,0.8405,0.99971,1,0.995,0.9793,0.99971,1,0.995,0.94797,0.26401,0.1941,0.16614,0.79771,0.0010298,0.0010298,0.0010298
51,648.302,0.35373,0.30008,0.25468,0.84471,0.99943,1,0.995,0.98901,0.99943,1,0.995,0.94876,0.19592,0.16496,0.15113,0.78246,0.00101,0.00101,0.00101
52,660.59,0.34534,0.29697,0.24473,0.8453,0.99971,1,0.995,0.97962,0.99971,1,0.995,0.93921,0.20434,0.17341,0.14975,0.7917,0.0009902,0.0009902,0.0009902
53,672.949,0.34961,0.29554,0.25146,0.84068,0.99971,1,0.995,0.98842,0.99971,1,0.995,0.94906,0.18053,0.15512,0.13643,0.78212,0.0009704,0.0009704,0.0009704
54,685.331,0.34514,0.28528,0.24673,0.84104,0.9997,1,0.995,0.97332,0.9997,1,0.995,0.9385,0.25678,0.1959,0.16489,0.79791,0.0009506,0.0009506,0.0009506
55,697.636,0.31942,0.27721,0.23877,0.83768,0.99971,1,0.995,0.98779,0.99971,1,0.995,0.95462,0.16359,0.15302,0.12776,0.78007,0.0009308,0.0009308,0.0009308
56,710.098,0.32683,0.2711,0.2416,0.83708,0.99971,1,0.995,0.98839,0.99971,1,0.995,0.95108,0.18877,0.16116,0.129,0.78268,0.000911,0.000911,0.000911
57,722.36,0.34683,0.29682,0.24399,0.83769,0.9997,1,0.995,0.98304,0.9997,1,0.995,0.93175,0.23077,0.17654,0.15962,0.78834,0.0008912,0.0008912,0.0008912
58,734.731,0.32454,0.28231,0.2358,0.83081,0.99958,1,0.995,0.98699,0.99958,1,0.995,0.95695,0.19976,0.1852,0.16446,0.78254,0.0008714,0.0008714,0.0008714
59,747.012,0.31991,0.26684,0.23816,0.83557,0.9997,1,0.995,0.98943,0.9997,1,0.995,0.93907,0.19353,0.16438,0.1433,0.78054,0.0008516,0.0008516,0.0008516
60,759.254,0.31141,0.25876,0.23028,0.82501,0.99971,1,0.995,0.99292,0.99971,1,0.995,0.96286,0.15006,0.15718,0.1225,0.7767,0.0008318,0.0008318,0.0008318
61,771.482,0.30404,0.24136,0.22561,0.83249,0.99968,1,0.995,0.99131,0.99968,1,0.995,0.94415,0.17991,0.16391,0.12649,0.78037,0.000812,0.000812,0.000812
62,783.588,0.30689,0.25843,0.22413,0.83,0.99972,1,0.995,0.99322,0.99972,1,0.995,0.96912,0.14411,0.14601,0.1202,0.77624,0.0007922,0.0007922,0.0007922
63,795.801,0.29957,0.27466,0.22872,0.82738,0.99971,1,0.995,0.99101,0.99971,1,0.995,0.95251,0.15017,0.14835,0.11795,0.77678,0.0007724,0.0007724,0.0007724
64,807.917,0.30958,0.26416,0.23141,0.83996,0.99965,1,0.995,0.98844,0.99965,1,0.995,0.94905,0.18164,0.17158,0.13148,0.78171,0.0007526,0.0007526,0.0007526
65,820.15,0.30355,0.27446,0.22429,0.83013,0.99971,1,0.995,0.98945,0.99971,1,0.995,0.95784,0.15606,0.14781,0.12185,0.77968,0.0007328,0.0007328,0.0007328
66,832.329,0.30693,0.26527,0.22343,0.82667,0.99969,1,0.995,0.99188,0.99969,1,0.995,0.97153,0.13867,0.12985,0.11747,0.77747,0.000713,0.000713,0.000713
67,844.614,0.30078,0.27673,0.22545,0.83041,0.99972,1,0.995,0.99007,0.99972,1,0.995,0.97464,0.17705,0.14022,0.12203,0.78,0.0006932,0.0006932,0.0006932
68,857.015,0.27851,0.2361,0.21029,0.82652,0.99972,1,0.995,0.98952,0.99972,1,0.995,0.9777,0.1564,0.12859,0.12051,0.77767,0.0006734,0.0006734,0.0006734
69,869.018,0.30139,0.26916,0.22571,0.8357,0.9997,1,0.995,0.9885,0.9997,1,0.995,0.96232,0.14098,0.13632,0.1172,0.77605,0.0006536,0.0006536,0.0006536
70,881.33,0.29232,0.28242,0.21681,0.83788,0.99969,1,0.995,0.99241,0.99969,1,0.995,0.97122,0.14812,0.12679,0.10778,0.7755,0.0006338,0.0006338,0.0006338
71,893.398,0.28298,0.26055,0.21296,0.82777,0.99971,1,0.995,0.9924,0.99971,1,0.995,0.95919,0.13754,0.14505,0.10751,0.7755,0.000614,0.000614,0.000614
72,905.591,0.28484,0.25473,0.21488,0.83168,0.99972,1,0.995,0.9883,0.99972,1,0.995,0.95911,0.15063,0.15372,0.11985,0.77922,0.0005942,0.0005942,0.0005942
73,917.677,0.29177,0.28661,0.21999,0.83728,0.99972,1,0.995,0.99195,0.99972,1,0.995,0.95302,0.15378,0.13802,0.12902,0.77674,0.0005744,0.0005744,0.0005744
74,929.752,0.27653,0.26676,0.20589,0.83221,0.99972,1,0.995,0.9931,0.99972,1,0.995,0.96781,0.13248,0.13637,0.10901,0.7759,0.0005546,0.0005546,0.0005546
75,942.005,0.28629,0.26457,0.21522,0.82545,0.99973,1,0.995,0.99263,0.99973,1,0.995,0.95215,0.19451,0.12737,0.12907,0.78018,0.0005348,0.0005348,0.0005348
76,954.201,0.28901,0.24995,0.21353,0.82968,0.9997,1,0.995,0.99179,0.9997,1,0.995,0.95687,0.15892,0.13303,0.12549,0.77636,0.000515,0.000515,0.000515
77,966.3,0.28658,0.25547,0.21182,0.83137,0.99971,1,0.995,0.99168,0.99971,1,0.995,0.97238,0.12888,0.12309,0.10379,0.77587,0.0004952,0.0004952,0.0004952
78,978.675,0.25697,0.23525,0.19012,0.81908,0.99968,1,0.995,0.99018,0.99968,1,0.995,0.97071,0.14575,0.13048,0.10824,0.77684,0.0004754,0.0004754,0.0004754
79,991.214,0.25831,0.24676,0.19773,0.82437,0.99972,1,0.995,0.99263,0.99972,1,0.995,0.969,0.13451,0.12772,0.09967,0.77436,0.0004556,0.0004556,0.0004556
80,1003.52,0.25722,0.23483,0.1975,0.82248,0.99973,1,0.995,0.99334,0.99973,1,0.995,0.97765,0.14136,0.13534,0.11402,0.77562,0.0004358,0.0004358,0.0004358
81,1015.64,0.27485,0.26286,0.20395,0.8272,0.99972,1,0.995,0.99083,0.99972,1,0.995,0.95255,0.15297,0.12905,0.10994,0.77751,0.000416,0.000416,0.000416
82,1027.72,0.26629,0.23493,0.201,0.83132,0.99973,1,0.995,0.99322,0.99973,1,0.995,0.97275,0.14374,0.13172,0.10465,0.77494,0.0003962,0.0003962,0.0003962
83,1039.93,0.25018,0.22152,0.18815,0.81964,0.99972,1,0.995,0.99269,0.99972,1,0.995,0.97007,0.13308,0.12911,0.10826,0.77548,0.0003764,0.0003764,0.0003764
84,1052,0.26005,0.24885,0.19074,0.82576,0.99972,1,0.995,0.9934,0.99972,1,0.995,0.97704,0.12266,0.11708,0.09368,0.77319,0.0003566,0.0003566,0.0003566
85,1064.3,0.26337,0.23741,0.19658,0.83119,0.99973,1,0.995,0.99408,0.99973,1,0.995,0.97243,0.11942,0.10964,0.09191,0.77329,0.0003368,0.0003368,0.0003368
86,1076.41,0.25568,0.24482,0.19457,0.82465,0.99972,1,0.995,0.99327,0.99972,1,0.995,0.96628,0.1158,0.12344,0.09173,0.772,0.000317,0.000317,0.000317
87,1088.58,0.22296,0.20182,0.17468,0.81943,0.99973,1,0.995,0.99429,0.99973,1,0.995,0.97457,0.10575,0.11131,0.08507,0.77133,0.0002972,0.0002972,0.0002972
88,1100.78,0.23768,0.22795,0.18361,0.817,0.99971,1,0.995,0.99499,0.99971,1,0.995,0.98107,0.10222,0.12324,0.08541,0.7716,0.0002774,0.0002774,0.0002774
89,1112.81,0.22091,0.22387,0.17196,0.81686,0.99973,1,0.995,0.99372,0.99973,1,0.995,0.97994,0.09405,0.10472,0.08118,0.77113,0.0002576,0.0002576,0.0002576
90,1125.05,0.2342,0.24873,0.17972,0.82114,0.99971,1,0.995,0.99418,0.99971,1,0.995,0.97427,0.10352,0.10745,0.08257,0.77152,0.0002378,0.0002378,0.0002378
91,1192.04,0.15479,0.14224,0.11922,0.77111,0.99972,1,0.995,0.99204,0.99972,1,0.995,0.9545,0.14629,0.14783,0.10026,0.77399,0.000218,0.000218,0.000218
92,1203.61,0.13618,0.13106,0.10743,0.76421,0.99973,1,0.995,0.99498,0.99973,1,0.995,0.96814,0.10347,0.11281,0.07925,0.77122,0.0001982,0.0001982,0.0001982
93,1215.09,0.12445,0.12373,0.10248,0.76264,0.99973,1,0.995,0.99453,0.99973,1,0.995,0.96818,0.10631,0.11366,0.08179,0.77093,0.0001784,0.0001784,0.0001784
94,1226.94,0.12044,0.12846,0.0991,0.76039,0.99973,1,0.995,0.99466,0.99973,1,0.995,0.97716,0.1012,0.10719,0.08222,0.77125,0.0001586,0.0001586,0.0001586
95,1238.62,0.1167,0.11706,0.09758,0.75705,0.99973,1,0.995,0.99401,0.99973,1,0.995,0.9804,0.08556,0.09511,0.0766,0.77035,0.0001388,0.0001388,0.0001388
96,1250.25,0.11268,0.12345,0.09413,0.75746,0.99973,1,0.995,0.99441,0.99973,1,0.995,0.98038,0.08043,0.09511,0.07078,0.77029,0.000119,0.000119,0.000119
97,1261.76,0.1071,0.11582,0.09158,0.75587,0.99973,1,0.995,0.99459,0.99973,1,0.995,0.98359,0.08422,0.09807,0.07424,0.77055,9.92e-05,9.92e-05,9.92e-05
98,1273.37,0.10767,0.11811,0.09045,0.75598,0.99974,1,0.995,0.99492,0.99974,1,0.995,0.98842,0.08009,0.0901,0.07191,0.76996,7.94e-05,7.94e-05,7.94e-05
99,1284.97,0.10321,0.10803,0.08792,0.76109,0.99973,1,0.995,0.99463,0.99973,1,0.995,0.98723,0.08037,0.08351,0.06985,0.76948,5.96e-05,5.96e-05,5.96e-05
100,1296.54,0.10314,0.10827,0.08821,0.76379,0.99973,1,0.995,0.99493,0.99973,1,0.995,0.98814,0.07344,0.08445,0.06531,0.76964,3.98e-05,3.98e-05,3.98e-05
